,kode_kontrak,pendapatan_setahun_juta,kpr_aktif,durasi_pinjaman_bulan,jumlah_tanggungan,rata_rata_overdue,risk_rating
1,AGR-000001,295,YA,48,5,61 - 90 days,4
2,AGR-000011,271,YA,36,5,61 - 90 days,4
3,AGR-000030,159,TIDAK,12,0,0 - 30 days,1
4,AGR-000043,210,YA,12,3,46 - 60 days,3
5,AGR-000049,165,TIDAK,36,0,31 - 45 days,2
6,AGR-000063,220,TIDAK,24,5,0 - 30 days,1
7,AGR-000068,70,TIDAK,36,3,31 - 45 days,2
8,AGR-000075,88,TIDAK,48,3,31 - 45 days,2
9,AGR-000081,163,TIDAK,48,5,31 - 45 days,2
10,AGR-000094,100,TIDAK,36,6,31 - 45 days,2
11,AGR-000110,166,TIDAK,12,0,31 - 45 days,2
12,AGR-000127,163,TIDAK,36,0,31 - 45 days,2
13,AGR-000136,162,TIDAK,48,5,31 - 45 days,2
14,AGR-000142,198,TIDAK,36,4,31 - 45 days,2
15,AGR-000148,116,TIDAK,36,4,31 - 45 days,2
16,AGR-000158,90,TIDAK,36,3,31 - 45 days,2
17,AGR-000173,167,YA,36,3,0 - 30 days,1
18,AGR-000186,208,TIDAK,36,0,0 - 30 days,1
19,AGR-000192,121,TIDAK,12,0,0 - 30 days,1
20,AGR-000203,162,TIDAK,48,0,31 - 45 days,2
21,AGR-000211,166,TIDAK,24,5,31 - 45 days,2
22,AGR-000224,84,TIDAK,12,3,31 - 45 days,2
23,AGR-000240,156,TIDAK,24,4,0 - 30 days,1
24,AGR-000247,184,TIDAK,24,6,0 - 30 days,1
25,AGR-000262,166,TIDAK,12,0,0 - 30 days,1
26,AGR-000267,117,TIDAK,12,0,0 - 30 days,1
27,AGR-000275,140,TIDAK,12,0,31 - 45 days,2
28,AGR-000281,103,TIDAK,36,5,31 - 45 days,2
29,AGR-000294,90,TIDAK,24,6,31 - 45 days,2
30,AGR-000306,144,TIDAK,12,0,31 - 45 days,2
31,AGR-000322,178,TIDAK,12,6,31 - 45 days,2
32,AGR-000333,129,TIDAK,12,0,31 - 45 days,2
33,AGR-000352,166,TIDAK,36,1,31 - 45 days,2
34,AGR-000370,151,TIDAK,48,1,31 - 45 days,2
35,AGR-000385,174,TIDAK,24,4,31 - 45 days,2
36,AGR-000403,111,YA,48,6,31 - 45 days,2
37,AGR-000415,123,TIDAK,24,5,31 - 45 days,2
38,AGR-000432,155,TIDAK,12,0,31 - 45 days,2
39,AGR-000438,193,TIDAK,24,5,0 - 30 days,1
40,AGR-000454,189,TIDAK,36,3,31 - 45 days,2
41,AGR-000471,98,TIDAK,48,6,31 - 45 days,2
42,AGR-000490,204,YA,36,1,0 - 30 days,1
43,AGR-000506,174,TIDAK,48,3,31 - 45 days,2
44,AGR-000521,78,TIDAK,48,5,31 - 45 days,2
45,AGR-000539,91,TIDAK,48,0,0 - 30 days,1
46,AGR-000551,104,TIDAK,24,6,0 - 30 days,1
47,AGR-000562,178,TIDAK,12,0,31 - 45 days,2
48,AGR-000581,152,TIDAK,12,5,0 - 30 days,1
49,AGR-000589,166,TIDAK,36,2,0 - 30 days,1
50,AGR-000607,197,TIDAK,12,0,31 - 45 days,2
51,AGR-000616,157,TIDAK,36,4,31 - 45 days,2
52,AGR-000629,171,TIDAK,48,1,31 - 45 days,2
53,AGR-000648,186,TIDAK,12,4,31 - 45 days,2
54,AGR-000659,104,TIDAK,48,1,31 - 45 days,2
55,AGR-000675,221,TIDAK,36,2,0 - 30 days,1
56,AGR-000694,79,TIDAK,12,0,31 - 45 days,2
57,AGR-000706,162,TIDAK,36,5,31 - 45 days,2
58,AGR-000717,162,TIDAK,12,0,0 - 30 days,1
59,AGR-000732,152,TIDAK,24,3,31 - 45 days,2
60,AGR-000748,103,TIDAK,48,3,31 - 45 days,2
61,AGR-000765,122,TIDAK,48,2,31 - 45 days,2
62,AGR-000771,156,TIDAK,24,4,31 - 45 days,2
63,AGR-000780,176,TIDAK,12,5,0 - 30 days,1
64,AGR-000798,91,TIDAK,36,2,31 - 45 days,2
65,AGR-000817,137,TIDAK,24,5,31 - 45 days,2
66,AGR-000832,95,TIDAK,12,3,0 - 30 days,1
67,AGR-000843,137,TIDAK,36,0,31 - 45 days,2
68,AGR-000860,120,TIDAK,48,5,31 - 45 days,2
69,AGR-000871,229,TIDAK,36,0,0 - 30 days,1
70,AGR-000887,94,TIDAK,12,0,0 - 30 days,1
71,AGR-000903,104,TIDAK,36,3,0 - 30 days,1
72,AGR-000919,218,TIDAK,48,6,0 - 30 days,1
73,AGR-000933,155,TIDAK,12,0,0 - 30 days,1
74,AGR-000939,213,TIDAK,48,0,0 - 30 days,1
75,AGR-000953,140,TIDAK,24,3,31 - 45 days,2
76,AGR-000964,182,TIDAK,12,0,0 - 30 days,1
77,AGR-000980,192,TIDAK,48,5,0 - 30 days,1
78,AGR-000994,143,TIDAK,36,5,0 - 30 days,1
79,AGR-001008,193,TIDAK,12,0,0 - 30 days,1
80,AGR-001023,190,TIDAK,36,6,0 - 30 days,1
81,AGR-001034,93,TIDAK,24,6,31 - 45 days,2
82,AGR-001039,128,TIDAK,36,6,0 - 30 days,1
83,AGR-001044,81,TIDAK,36,5,31 - 45 days,2
84,AGR-001059,179,TIDAK,48,5,31 - 45 days,2
85,AGR-001072,191,TIDAK,12,0,31 - 45 days,2
86,AGR-001086,87,TIDAK,12,0,31 - 45 days,2
87,AGR-001092,100,TIDAK,12,0,0 - 30 days,1
88,AGR-001105,115,TIDAK,48,5,0 - 30 days,1
89,AGR-001115,192,TIDAK,36,5,31 - 45 days,2
90,AGR-001125,83,TIDAK,12,0,31 - 45 days,2
91,AGR-001135,190,TIDAK,36,4,0 - 30 days,1
92,AGR-001148,153,TIDAK,12,0,31 - 45 days,2
93,AGR-001156,187,TIDAK,48,6,31 - 45 days,2
94,AGR-001175,220,YA,12,6,61 - 90 days,4
95,AGR-001187,208,YA,12,6,61 - 90 days,4
96,AGR-001200,195,TIDAK,12,0,0 - 30 days,1
97,AGR-001212,104,TIDAK,12,0,0 - 30 days,1
98,AGR-001223,118,TIDAK,12,0,0 - 30 days,1
99,AGR-001234,177,YA,24,3,46 - 60 days,3
100,AGR-001251,175,YA,24,5,> 90 days,5
101,AGR-001268,84,YA,48,1,46 - 60 days,3
102,AGR-001275,113,YA,24,4,46 - 60 days,3
103,AGR-001288,134,YA,48,6,> 90 days,5
104,AGR-001297,94,TIDAK,36,3,46 - 60 days,3
105,AGR-001308,138,YA,12,5,> 90 days,5
106,AGR-001320,191,YA,48,2,46 - 60 days,3
107,AGR-001326,230,TIDAK,12,0,0 - 30 days,1
108,AGR-001336,210,YA,36,3,46 - 60 days,3
109,AGR-001342,114,TIDAK,12,0,0 - 30 days,1
110,AGR-001359,169,YA,12,4,46 - 60 days,3
111,AGR-001365,120,YA,36,6,> 90 days,5
112,AGR-001378,203,TIDAK,12,0,0 - 30 days,1
113,AGR-001396,135,YA,24,3,46 - 60 days,3
114,AGR-001401,120,YA,48,3,46 - 60 days,3
115,AGR-001413,101,YA,36,5,> 90 days,5
116,AGR-001421,103,TIDAK,12,0,0 - 30 days,1
117,AGR-001438,213,YA,24,3,46 - 60 days,3
118,AGR-001446,109,YA,12,6,61 - 90 days,4
119,AGR-001453,146,TIDAK,36,1,31 - 45 days,2
120,AGR-001469,220,YA,12,3,46 - 60 days,3
121,AGR-001487,201,TIDAK,48,0,31 - 45 days,2
122,AGR-001494,128,TIDAK,12,0,0 - 30 days,1
123,AGR-001505,177,YA,36,6,61 - 90 days,4
124,AGR-001520,167,YA,48,2,46 - 60 days,3
125,AGR-001526,172,YA,36,4,46 - 60 days,3
126,AGR-001539,178,YA,36,3,46 - 60 days,3
127,AGR-001558,146,TIDAK,12,0,0 - 30 days,1
128,AGR-001566,157,YA,36,6,61 - 90 days,4
129,AGR-001572,152,TIDAK,12,0,0 - 30 days,1
130,AGR-001584,270,YA,36,5,61 - 90 days,4
131,AGR-001599,178,YA,24,3,46 - 60 days,3
132,AGR-001608,159,TIDAK,36,0,0 - 30 days,1
133,AGR-001620,117,YA,36,4,46 - 60 days,3
134,AGR-001633,151,YA,24,5,> 90 days,5
135,AGR-001640,188,YA,24,4,46 - 60 days,3
136,AGR-001649,140,YA,12,6,> 90 days,5
137,AGR-001665,192,YA,12,6,> 90 days,5
138,AGR-001682,132,YA,12,6,> 90 days,5
139,AGR-001688,181,YA,24,3,46 - 60 days,3
140,AGR-001695,83,YA,48,6,> 90 days,5
141,AGR-001704,170,YA,48,4,46 - 60 days,3
142,AGR-001722,215,TIDAK,12,0,0 - 30 days,1
143,AGR-001739,95,TIDAK,24,5,> 90 days,5
144,AGR-001747,83,TIDAK,48,6,> 90 days,5
145,AGR-001764,194,YA,48,3,46 - 60 days,3
146,AGR-001769,95,YA,48,4,46 - 60 days,3
147,AGR-001784,196,TIDAK,12,0,0 - 30 days,1
148,AGR-001792,87,YA,24,6,> 90 days,5
149,AGR-001799,172,TIDAK,12,0,0 - 30 days,1
150,AGR-001818,96,TIDAK,12,0,0 - 30 days,1
151,AGR-001830,198,TIDAK,48,0,31 - 45 days,2
152,AGR-001849,121,YA,12,4,46 - 60 days,3
153,AGR-001862,102,YA,12,3,46 - 60 days,3
154,AGR-001877,247,YA,12,6,61 - 90 days,4
155,AGR-001883,202,TIDAK,12,0,0 - 30 days,1
156,AGR-001888,251,YA,12,5,61 - 90 days,4
157,AGR-001895,215,TIDAK,12,0,0 - 30 days,1
158,AGR-001912,81,YA,48,2,46 - 60 days,3
159,AGR-001920,176,YA,12,3,46 - 60 days,3
160,AGR-001935,84,TIDAK,48,1,46 - 60 days,3
161,AGR-001941,169,YA,48,2,46 - 60 days,3
162,AGR-001948,95,TIDAK,12,0,0 - 30 days,1
163,AGR-001958,115,TIDAK,36,2,31 - 45 days,2
164,AGR-001972,145,TIDAK,36,2,31 - 45 days,2
165,AGR-001982,195,YA,36,4,46 - 60 days,3
166,AGR-001991,203,YA,24,6,61 - 90 days,4
167,AGR-002001,205,YA,36,5,61 - 90 days,4
168,AGR-002016,75,YA,48,1,46 - 60 days,3
169,AGR-002029,225,TIDAK,48,0,31 - 45 days,2
170,AGR-002043,155,TIDAK,12,0,0 - 30 days,1
171,AGR-002057,121,YA,24,4,46 - 60 days,3
172,AGR-002067,143,YA,24,3,46 - 60 days,3
173,AGR-002085,218,YA,48,1,46 - 60 days,3
174,AGR-002096,110,YA,12,4,46 - 60 days,3
175,AGR-002112,278,YA,36,5,61 - 90 days,4
176,AGR-002131,264,YA,12,6,61 - 90 days,4
177,AGR-002144,158,TIDAK,24,0,0 - 30 days,1
178,AGR-002153,206,YA,48,2,46 - 60 days,3
179,AGR-002162,110,TIDAK,36,1,0 - 30 days,1
180,AGR-002171,164,TIDAK,36,1,31 - 45 days,2
181,AGR-002187,147,YA,36,3,46 - 60 days,3
182,AGR-002192,150,YA,24,4,46 - 60 days,3
183,AGR-002210,221,YA,48,3,46 - 60 days,3
184,AGR-002217,158,YA,36,5,> 90 days,5
185,AGR-002226,118,TIDAK,36,2,31 - 45 days,2
186,AGR-002244,185,YA,12,3,46 - 60 days,3
187,AGR-002261,155,YA,12,6,> 90 days,5
188,AGR-002274,199,YA,36,4,46 - 60 days,3
189,AGR-002287,140,TIDAK,24,0,0 - 30 days,1
190,AGR-002305,111,YA,36,5,> 90 days,5
191,AGR-002310,128,YA,12,5,> 90 days,5
192,AGR-002326,204,TIDAK,36,1,0 - 30 days,1
193,AGR-002334,115,YA,36,5,> 90 days,5
194,AGR-002341,102,YA,48,5,> 90 days,5
195,AGR-002360,111,YA,48,3,46 - 60 days,3
196,AGR-002374,93,TIDAK,48,0,31 - 45 days,2
197,AGR-002386,179,YA,36,5,> 90 days,5
198,AGR-002395,153,YA,12,3,46 - 60 days,3
199,AGR-002404,120,YA,48,5,> 90 days,5
200,AGR-002412,125,TIDAK,24,0,0 - 30 days,1
201,AGR-002418,72,TIDAK,48,0,31 - 45 days,2
202,AGR-002424,133,YA,48,2,46 - 60 days,3
203,AGR-002438,227,YA,12,3,46 - 60 days,3
204,AGR-002450,145,YA,48,6,> 90 days,5
205,AGR-002458,135,YA,12,5,> 90 days,5
206,AGR-002476,84,YA,48,3,46 - 60 days,3
207,AGR-002488,157,TIDAK,24,0,0 - 30 days,1
208,AGR-002497,186,TIDAK,24,0,0 - 30 days,1
209,AGR-002510,105,TIDAK,24,0,0 - 30 days,1
210,AGR-002517,145,YA,36,4,46 - 60 days,3
211,AGR-002531,145,TIDAK,24,0,0 - 30 days,1
212,AGR-002539,179,TIDAK,36,2,0 - 30 days,1
213,AGR-002550,174,YA,48,5,> 90 days,5
214,AGR-002569,156,TIDAK,24,0,0 - 30 days,1
215,AGR-002586,148,YA,24,3,46 - 60 days,3
216,AGR-002605,92,YA,48,6,> 90 days,5
217,AGR-002623,140,YA,12,4,46 - 60 days,3
218,AGR-002630,158,TIDAK,48,0,31 - 45 days,2
219,AGR-002639,143,YA,48,2,46 - 60 days,3
220,AGR-002644,229,YA,48,1,46 - 60 days,3
221,AGR-002655,179,TIDAK,36,1,0 - 30 days,1
222,AGR-002663,149,TIDAK,24,0,0 - 30 days,1
223,AGR-002669,230,TIDAK,36,1,0 - 30 days,1
224,AGR-002679,178,YA,12,4,46 - 60 days,3
225,AGR-002687,161,YA,48,5,> 90 days,5
226,AGR-002696,151,YA,48,1,46 - 60 days,3
227,AGR-002703,189,YA,12,6,> 90 days,5
228,AGR-002709,173,TIDAK,36,2,31 - 45 days,2
229,AGR-002720,104,YA,12,4,46 - 60 days,3
230,AGR-002730,167,YA,48,2,46 - 60 days,3
231,AGR-002741,98,YA,12,3,46 - 60 days,3
232,AGR-002756,126,TIDAK,24,0,0 - 30 days,1
233,AGR-002766,166,YA,36,5,> 90 days,5
234,AGR-002774,71,YA,24,3,46 - 60 days,3
235,AGR-002785,209,YA,12,3,46 - 60 days,3
236,AGR-002797,168,YA,24,4,46 - 60 days,3
237,AGR-002816,135,TIDAK,24,0,0 - 30 days,1
238,AGR-002823,225,TIDAK,24,0,0 - 30 days,1
239,AGR-002840,205,TIDAK,48,0,31 - 45 days,2
240,AGR-002851,215,TIDAK,24,0,0 - 30 days,1
241,AGR-002857,111,YA,12,6,> 90 days,5
242,AGR-002865,112,YA,24,4,46 - 60 days,3
243,AGR-002881,107,YA,48,2,46 - 60 days,3
244,AGR-002886,178,YA,12,5,> 90 days,5
245,AGR-002891,275,YA,36,5,61 - 90 days,4
246,AGR-002898,80,YA,48,2,46 - 60 days,3
247,AGR-002907,110,YA,12,5,61 - 90 days,4
248,AGR-002926,244,YA,48,5,> 90 days,5
249,AGR-002945,225,YA,48,3,46 - 60 days,3
250,AGR-002953,101,YA,24,4,46 - 60 days,3
251,AGR-002959,248,YA,36,5,> 90 days,5
252,AGR-002967,171,TIDAK,24,0,0 - 30 days,1
253,AGR-002974,154,TIDAK,24,0,0 - 30 days,1
254,AGR-002989,220,YA,24,3,46 - 60 days,3
255,AGR-003002,187,YA,48,1,46 - 60 days,3
256,AGR-003007,116,TIDAK,36,0,31 - 45 days,2
257,AGR-003020,166,YA,36,4,46 - 60 days,3
258,AGR-003031,168,TIDAK,24,0,0 - 30 days,1
259,AGR-003038,85,TIDAK,48,0,31 - 45 days,2
260,AGR-003052,199,YA,48,1,46 - 60 days,3
261,AGR-003058,130,TIDAK,24,0,0 - 30 days,1
262,AGR-003063,85,YA,24,3,46 - 60 days,3
263,AGR-003074,192,TIDAK,24,0,31 - 45 days,2
264,AGR-003087,199,TIDAK,36,0,31 - 45 days,2
265,AGR-003098,163,TIDAK,36,0,31 - 45 days,2
266,AGR-003115,283,YA,12,6,61 - 90 days,4
267,AGR-003130,187,YA,36,3,46 - 60 days,3
268,AGR-003143,173,TIDAK,48,0,31 - 45 days,2
269,AGR-003153,202,YA,12,3,46 - 60 days,3
270,AGR-003166,140,TIDAK,36,2,0 - 30 days,1
271,AGR-003179,144,TIDAK,24,0,31 - 45 days,2
272,AGR-003189,173,YA,48,5,> 90 days,5
273,AGR-003207,125,YA,48,6,> 90 days,5
274,AGR-003217,300,YA,36,5,61 - 90 days,4
275,AGR-003225,152,YA,12,3,46 - 60 days,3
276,AGR-003236,207,TIDAK,36,1,0 - 30 days,1
277,AGR-003254,193,TIDAK,36,2,31 - 45 days,2
278,AGR-003260,193,TIDAK,24,0,31 - 45 days,2
279,AGR-003266,158,YA,36,6,> 90 days,5
280,AGR-003282,295,YA,12,5,61 - 90 days,4
281,AGR-003292,164,YA,36,5,> 90 days,5
282,AGR-003307,184,TIDAK,36,0,31 - 45 days,2
283,AGR-003325,149,YA,36,3,46 - 60 days,3
284,AGR-003344,188,YA,24,4,46 - 60 days,3
285,AGR-003358,173,TIDAK,36,1,0 - 30 days,1
286,AGR-003375,70,YA,12,4,46 - 60 days,3
287,AGR-003392,206,YA,36,6,> 90 days,5
288,AGR-003403,102,TIDAK,36,2,0 - 30 days,1
289,AGR-003419,114,TIDAK,48,0,31 - 45 days,2
290,AGR-003426,117,YA,48,6,> 90 days,5
291,AGR-003443,91,YA,24,4,46 - 60 days,3
292,AGR-003456,120,TIDAK,24,0,0 - 30 days,1
293,AGR-003468,114,YA,36,5,> 90 days,5
294,AGR-003479,75,YA,48,2,46 - 60 days,3
295,AGR-003486,199,TIDAK,24,0,0 - 30 days,1
296,AGR-003494,204,YA,24,6,61 - 90 days,4
297,AGR-003504,159,TIDAK,36,0,31 - 45 days,2
298,AGR-003515,149,TIDAK,24,0,0 - 30 days,1
299,AGR-003524,138,YA,36,4,46 - 60 days,3
300,AGR-003536,226,YA,48,4,46 - 60 days,3
301,AGR-003554,230,YA,24,3,46 - 60 days,3
302,AGR-003572,153,TIDAK,24,0,0 - 30 days,1
303,AGR-003588,178,YA,12,4,46 - 60 days,3
304,AGR-003601,117,TIDAK,24,0,0 - 30 days,1
305,AGR-003608,165,YA,48,1,46 - 60 days,3
306,AGR-003618,151,TIDAK,36,1,0 - 30 days,1
307,AGR-003630,93,YA,24,3,46 - 60 days,3
308,AGR-003648,124,YA,36,6,> 90 days,5
309,AGR-003654,155,TIDAK,24,0,0 - 30 days,1
310,AGR-003670,114,YA,48,4,46 - 60 days,3
311,AGR-003676,116,TIDAK,24,0,0 - 30 days,1
312,AGR-003695,197,YA,48,6,> 90 days,5
313,AGR-003701,142,YA,48,5,> 90 days,5
314,AGR-003711,247,YA,24,6,61 - 90 days,4
315,AGR-003726,211,YA,24,3,46 - 60 days,3
316,AGR-003745,115,TIDAK,24,0,0 - 30 days,1
317,AGR-003755,167,TIDAK,48,0,31 - 45 days,2
318,AGR-003760,150,YA,24,3,46 - 60 days,3
319,AGR-003766,225,TIDAK,24,0,0 - 30 days,1
320,AGR-003775,115,YA,36,4,46 - 60 days,3
321,AGR-003792,154,TIDAK,24,0,0 - 30 days,1
322,AGR-003806,276,YA,12,5,61 - 90 days,4
323,AGR-003825,139,YA,48,4,46 - 60 days,3
324,AGR-003842,257,YA,36,5,61 - 90 days,4
325,AGR-003852,112,YA,24,4,46 - 60 days,3
326,AGR-003865,211,YA,36,4,46 - 60 days,3
327,AGR-003881,193,TIDAK,24,0,0 - 30 days,1
328,AGR-003894,210,YA,48,2,46 - 60 days,3
329,AGR-003902,90,YA,48,1,46 - 60 days,3
330,AGR-003913,175,YA,48,6,> 90 days,5
331,AGR-003918,200,TIDAK,36,2,31 - 45 days,2
332,AGR-003924,208,YA,24,6,61 - 90 days,4
333,AGR-003936,276,YA,12,5,61 - 90 days,4
334,AGR-003944,128,TIDAK,48,0,31 - 45 days,2
335,AGR-003961,158,TIDAK,24,0,0 - 30 days,1
336,AGR-003975,134,YA,48,2,46 - 60 days,3
337,AGR-003986,202,TIDAK,24,0,0 - 30 days,1
338,AGR-003998,175,YA,36,3,46 - 60 days,3
339,AGR-004012,182,YA,36,3,46 - 60 days,3
340,AGR-004021,109,YA,24,4,46 - 60 days,3
341,AGR-004035,103,YA,24,4,46 - 60 days,3
342,AGR-004047,139,YA,24,5,61 - 90 days,4
343,AGR-004059,218,TIDAK,24,0,0 - 30 days,1
344,AGR-004076,179,YA,12,3,46 - 60 days,3
345,AGR-004093,268,YA,36,5,61 - 90 days,4
346,AGR-004101,175,YA,12,4,46 - 60 days,3
347,AGR-004118,197,TIDAK,24,0,0 - 30 days,1
348,AGR-004123,134,TIDAK,24,0,0 - 30 days,1
349,AGR-004129,160,YA,36,5,> 90 days,5
350,AGR-004146,141,YA,48,6,> 90 days,5
351,AGR-004158,115,TIDAK,12,1,0 - 30 days,1
352,AGR-004167,112,TIDAK,12,1,0 - 30 days,1
353,AGR-004184,79,YA,48,1,46 - 60 days,3
354,AGR-004201,246,YA,24,5,61 - 90 days,4
355,AGR-004219,204,TIDAK,12,1,0 - 30 days,1
356,AGR-004235,165,TIDAK,36,2,31 - 45 days,2
357,AGR-004254,162,TIDAK,12,1,0 - 30 days,1
358,AGR-004267,254,YA,36,5,61 - 90 days,4
359,AGR-004282,137,YA,12,4,46 - 60 days,3
360,AGR-004298,106,YA,48,4,46 - 60 days,3
361,AGR-004306,182,YA,36,6,> 90 days,5
362,AGR-004311,83,YA,24,3,46 - 60 days,3
363,AGR-004325,219,YA,24,5,61 - 90 days,4
364,AGR-004335,181,TIDAK,12,1,0 - 30 days,1
365,AGR-004349,199,YA,48,2,46 - 60 days,3
366,AGR-004367,212,YA,12,4,46 - 60 days,3
367,AGR-004383,101,YA,36,4,46 - 60 days,3
368,AGR-004396,126,YA,24,6,61 - 90 days,4
369,AGR-004414,200,YA,48,6,> 90 days,5
370,AGR-004426,187,TIDAK,36,2,0 - 30 days,1
371,AGR-004443,78,YA,48,2,46 - 60 days,3
372,AGR-004457,160,YA,36,6,> 90 days,5
373,AGR-004472,193,YA,48,3,46 - 60 days,3
374,AGR-004484,188,TIDAK,12,1,0 - 30 days,1
375,AGR-004489,180,YA,48,2,46 - 60 days,3
376,AGR-004500,185,YA,48,3,46 - 60 days,3
377,AGR-004517,130,YA,48,2,46 - 60 days,3
378,AGR-004531,89,TIDAK,48,0,31 - 45 days,2
379,AGR-004543,141,TIDAK,36,2,31 - 45 days,2
380,AGR-004557,115,YA,24,5,61 - 90 days,4
381,AGR-004568,169,TIDAK,36,2,0 - 30 days,1
382,AGR-004576,198,TIDAK,12,1,0 - 30 days,1
383,AGR-004595,177,TIDAK,12,1,0 - 30 days,1
384,AGR-004612,95,YA,24,3,46 - 60 days,3
385,AGR-004623,76,YA,48,4,46 - 60 days,3
386,AGR-004632,265,YA,48,5,61 - 90 days,4
387,AGR-004639,180,YA,24,3,46 - 60 days,3
388,AGR-004649,84,YA,36,3,46 - 60 days,3
389,AGR-004663,236,YA,36,6,> 90 days,5
390,AGR-004675,265,YA,48,5,61 - 90 days,4
391,AGR-004685,224,TIDAK,12,1,0 - 30 days,1
392,AGR-004695,174,YA,48,5,> 90 days,5
393,AGR-004713,299,YA,36,5,61 - 90 days,4
394,AGR-004719,189,TIDAK,36,2,0 - 30 days,1
395,AGR-004732,182,YA,24,5,61 - 90 days,4
396,AGR-004749,114,TIDAK,48,0,31 - 45 days,2
397,AGR-004766,98,YA,48,2,46 - 60 days,3
398,AGR-004779,193,TIDAK,12,1,0 - 30 days,1
399,AGR-004792,265,YA,24,6,61 - 90 days,4
400,AGR-004800,207,YA,36,3,46 - 60 days,3
401,AGR-004816,230,TIDAK,12,1,0 - 30 days,1
402,AGR-004834,130,YA,12,5,61 - 90 days,4
403,AGR-004848,199,YA,24,4,46 - 60 days,3
404,AGR-004863,93,YA,24,3,46 - 60 days,3
405,AGR-004875,142,TIDAK,12,1,0 - 30 days,1
406,AGR-004886,221,YA,36,4,46 - 60 days,3
407,AGR-004904,159,YA,48,1,46 - 60 days,3
408,AGR-004922,124,YA,48,1,46 - 60 days,3
409,AGR-004939,192,TIDAK,12,1,0 - 30 days,1
410,AGR-004948,97,YA,48,3,46 - 60 days,3
411,AGR-004957,102,TIDAK,36,1,31 - 45 days,2
412,AGR-004973,93,TIDAK,12,1,31 - 45 days,2
413,AGR-004987,198,YA,36,4,46 - 60 days,3
414,AGR-004994,217,TIDAK,12,1,0 - 30 days,1
415,AGR-004999,109,TIDAK,12,1,31 - 45 days,2
416,AGR-005015,164,YA,24,3,46 - 60 days,3
417,AGR-005032,94,TIDAK,12,1,31 - 45 days,2
418,AGR-005046,192,YA,12,3,46 - 60 days,3
419,AGR-005057,167,YA,48,3,46 - 60 days,3
420,AGR-005068,189,YA,48,6,> 90 days,5
421,AGR-005085,209,TIDAK,12,1,0 - 30 days,1
422,AGR-005101,287,YA,24,5,61 - 90 days,4
423,AGR-005111,136,TIDAK,12,1,0 - 30 days,1
424,AGR-005126,230,TIDAK,12,1,0 - 30 days,1
425,AGR-005145,177,YA,12,4,46 - 60 days,3
426,AGR-005152,145,TIDAK,36,1,0 - 30 days,1
427,AGR-005166,151,YA,24,6,61 - 90 days,4
428,AGR-005183,225,TIDAK,12,1,0 - 30 days,1
429,AGR-005200,162,TIDAK,12,1,0 - 30 days,1
430,AGR-005218,175,TIDAK,12,1,0 - 30 days,1
431,AGR-005229,190,YA,36,6,> 90 days,5
432,AGR-005235,110,YA,48,4,46 - 60 days,3
433,AGR-005241,198,YA,24,4,46 - 60 days,3
434,AGR-005249,288,YA,12,6,61 - 90 days,4
435,AGR-005268,223,YA,48,4,46 - 60 days,3
436,AGR-005284,142,TIDAK,48,0,31 - 45 days,2
437,AGR-005302,214,TIDAK,36,1,0 - 30 days,1
438,AGR-005321,175,YA,24,3,46 - 60 days,3
439,AGR-005332,157,YA,36,3,46 - 60 days,3
440,AGR-005347,165,YA,48,3,46 - 60 days,3
441,AGR-005354,287,YA,48,6,61 - 90 days,4
442,AGR-005362,153,YA,12,4,46 - 60 days,3
443,AGR-005370,256,YA,12,6,61 - 90 days,4
444,AGR-005383,80,YA,48,4,46 - 60 days,3
445,AGR-005395,159,YA,48,4,46 - 60 days,3
446,AGR-005412,71,YA,24,3,46 - 60 days,3
447,AGR-005428,71,YA,48,0,61 - 90 days,4
448,AGR-005439,227,TIDAK,12,1,0 - 30 days,1
